Code CATMINAT;Syntaxon
02/3.0.1.0.2/02;Spergulario marinae - Salicornietum europaeae (Libbert 1940) Passarge 1996
02/3.0.1.0.2/02;Salicornietum europaeae (Warming 1906) J.-M. & J. Géhu 1980
02/3.0.1.0.2/03;Salicornietum x marshallii - appressae Géhu 1976
02/3.0.1.0.2/03;Salicornietum appressae Christiansen 1955 em. 1974 
02/3.0.1.0.2/03;Salicornietum disarticulato - appressae Géhu (1976) 1992
02/3.0.1.0.2/03;Puccinellio maritimae - Salicornietum appressae Géhu & Géhu-Franck 1979
02/3.0.1.0.2/03;Puccinellio maritimae - Salicornietum appressae Géhu & Géhu-Franck 1979 non Tüxen 1974
02/3.0.1.0.2/03;Sarcocornio perennis - Salicornietum appressae (Géhu & Géhu-Franck 1979) Rivas-Martínez 1991
02/3.0.1.0.2/03;Spergulario rupicolae - Salicornietum appressae Bioret, Lahondère & Khelifi 2001
02/3.0.1.0.2/03;Puccinellio maritimae - Salicornietum pusillae Géhu & Bioret 1992
02/3.0.1.0.2/03;Salicornietum x marshallii (Géhu & Géhu-Franck 1979) Géhu & Bioret 1992
02/3.0.1.0.2/03;Salicornietum x marshallii (Géhu & Géhu-Franck 1979) Géhu & Bioret 1992 corr. Géhu 1992
02/3.0.1.0.2/04;Salicornietum emericii var. vicensis J. Duvigneaud 1967
02/3.0.1.0.2/05;Salicornietum appresso - emericii var. emericii (Géhu & Géhu-Franck 1979) Géhu & Bioret 1992
02/3.0.1.0.2/05;Puccinellio maritimae - Salicornietum emericii Géhu & Géhu-Franck 1979
02/3.0.1.0.2/06;Suaedetum maritimae var. macrocarpae de Litardière & Malcuit 1927 ex Géhu, Rivas-Martínez & Tüxen in Tüxen 1974
02/3.0.1.0.2/06;Suaedetum maritimae var. macrocarpae (J.-M. & J. Géhu 1969) Géhu, Rivas-Martínez & Tüxen 1972 ex Tüxen 1974
02/3.0.1.0.2/06;Suaedetum maritimae var. macrocarpae J.-M. & J. Géhu 1969
02/3.0.1.0.2/07;Atriplici prostratae var. salinae - Suaedetum maritimae var. flexilis Géhu 2006
02/3.0.1.0.2/07;Suaedetum maritimae var. flexilis Tüxen 1974
02/3.0.1.0.2/07;Suaedetum maritimae var. flexilis J.-M. & J. Géhu 1969
02/3.0.1.0.3;Salicornion patulae Géhu & Géhu-Franck 1984
02/3.0.1.0.3;Salicornion patulae Géhu & Géhu-Franck 1984 em. Géhu 1999
02/3.0.1.0.3/01;Suaedo spicatae - Salicornietum patulae Brullo & Furnari 1976 ex Géhu & Géhu-Franck 1984 corr. Alcaraz, Ríos, De la Torre, Delgado & Inocencio 1998
02/3.0.1.0.3/01;Salicornietum patulae Brullo & Furnari 1976 
02/3.0.1.0.3/01;Salicornietum patulae Christiansen 1955 
02/3.0.1.0.3/02;Suaedo splendentis - Salicornietum patulae Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980 corr. Rivas-Martínez 1991
02/3.0.1.0.3/03;Salicornietum emericii var. emericii O. de Bolòs 1962 ex Brullo & Furnari 1976
02/3.0.1.0.3/04;Suaedetum albescentis Géhu 1976 corr. Rivas-Martínez, Fernández-González, Loidi, Lousã & Penas 2001
02/4.;Euphorbio paraliae - Ammophiletea arenariae subsp. australis Géhu & Géhu-Franck 1988
02/4.;Ammophiletea canariensis Esteve 1968
02/4.;Ammophiletea arenariae Braun-Blanquet & Tüxen 1943
02/4.;Ammophiletea arenariae Braun-Blanquet & Tüxen 1943 ex Westhoff, Dijk & Passchier 1942
02/4.0.1;Ammophiletalia arenariae subsp. australis Braun-Blanquet (1931) 1933 em. Géhu & Géhu-Franck 1988
02/4.0.1;Ammophiletalia arenariae subsp. australis Braun-Blanquet 1931
02/4.0.1;Ammophiletalia arenariae subsp. australis Braun-Blanquet 1933
02/4.0.1;Euphorbio paraliae - Ammophiletalia arenariae J.-M. & J. Géhu 1969
02/4.0.1;Ammophiletalia arenariae subsp. australis Braun-Blanquet (1931) 1933 ex Tüxen & Oberdorfer 1958
02/4.0.1.0.1;Ammophilion arenariae subsp. arenariae Géhu 1988
02/4.0.1.0.1;Ammophilion arenariae subsp. arenariae (Tüxen in Braun-Blanquet & Tüxen 1952) Géhu 1988
02/4.0.1.0.1;Ammophilenion arenariae subsp. arenariae Géhu 1988
02/4.0.1.0.1;Elytrigio junceae subsp. boreoatlanticae - Honckenyenion peploidis Rivas-Martínez, Fernández-González, Loidi, Lousã & Penas 2001
02/4.0.1.0.1;Euphorbio paraliae - Festucenion rubrae subsp. arenariae Géhu (1975) 1994
02/4.0.1.0.1;Honckenyo peploidis - Elytrigion junceae subsp. boreoatlanticae Tüxen in Braun-Blanquet & Tüxen 1952
02/4.0.1.0.1;Elytrigion junceae (Tüxen in Braun-Blanquet. & Tüxen 1952) Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980
02/4.0.1.0.1/01;Euphorbio paraliae - Elytrigietum junceae subsp. boreoatlanticae Tüxen 1945 apud Braun-Blanquet & Tüxen 1952
02/4.0.1.0.1/01;Elytrigio junceae subsp. boreoatlanticae - Otanthetum maritimae Braun-Blanquet, Rozeira & P. Silva in Braun-Blanquet, G. Braun-Blanquet, Rozeira & P. Silva 1972
02/4.0.1.0.1/01;Eryngio maritimae - Honckenietum peploidis Braun-Blanquet, Rozeira & P. Silva in Braun-Blanquet, G. Braun-Blanquet, Rozeira, P. Silva 1972 
02/4.0.1.0.1/01;Euphorbio paraliae - Elytrigietum junceae subsp. boreoatlanticae Tüxen in Braun-Blanquet & Tüxen 1952 corr. Darimont, Duvigneaud & Lambinon 1962
02/4.0.1.0.1/01;Honckenyo peploidis - Elytrigietum junceae subsp. boreoatlanticae Loriente 1986
02/4.0.1.0.1/02;Euphorbio paraliae - Ammophiletum arenariae subsp. arenariae Tüxen 1945 apud Braun-Blanquet & Tüxen 1952
02/4.0.1.0.1/02;Galio arenariae - Ammophiletum arenariae subsp. arenariae J.-M. & J. Géhu 1969
02/4.0.1.0.1/02;Sileno vulgaris subsp. thorei - Ammophiletum arenariae subsp. arenariae J.-M. & J. Géhu 1969
02/4.0.1.0.1/02;Sileno vulgaris subsp. thorei - Ammophiletum arenariae subsp. arenariae (Géhu 1968) Géhu, Franck & Bournique 1995
02/4.0.1.0.1/02bis;Euphorbio paraliae - Ammophiletum arenariae subsp. arenariae Tüxen 1945 apud Braun-Blanquet & Tüxen 1952 festucetosum rubrae subsp. arenariae
02/4.0.1.0.1/02bis;Euphorbio paraliae - Festucetum rubrae subsp. arenariae Géhu 1963
02/4.0.1.0.2;Ammophilion arenariae subsp. australis Braun-Blanquet (1931) 1933 em. Géhu & Géhu-Franck 1988
02/4.0.1.0.2;Ammophilenion arenariae subsp. australis Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980
02/4.0.1.0.2;Ammophilion arenariae subsp. australis Braun-Blanquet 1921
02/4.0.1.0.2;Ammophilion arenariae subsp. australis Braun-Blanquet 1921 corr. Rivas-Martínez, Costa & Izco in Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990
02/4.0.1.0.2;Ammophilion arenariae subsp. australis Braun-Blanquet 1933
02/4.0.1.0.2;Ammophilion arenariae subsp. australis Géhu 1988
02/4.0.1.0.2;Euphorbio paraliae - Ammophilion arenariae subsp. australis J.-M. & J. Géhu 1969 
02/4.0.1.0.2;Ammophilion arenariae subsp. australis Braun-Blanquet (1931) 1933 em. J.-M. & J. Géhu 1969
02/4.0.1.0.2;Elytrigenion junceae subsp. junceae Piazza & Paradis 1997
02/4.0.1.0.2;Elytrigenion junceae subsp. junceae Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980
02/4.0.1.0.2;Euphorbio paraliae - Elytrigion junceae subsp. junceae J.-M. & J. Géhu 1969
02/4.0.1.0.2;Medicagini marinae - Ammophilenion arenariae subsp. australis (Braun-Blanquet 1921) Rivas-Martínez & Géhu in Géhu & Rivas-Martínez 1980
02/4.0.1.0.2;Otantho maritimae subsp. maritimae - Elytrigion junceae subsp. junceae J.-M. & J. Géhu 1969
02/4.0.1.0.2;Sporobolenion pungentis Géhu & Géhu-Franck ex Géhu & Biondi 1994
